frame_idx,video_name,condition,t_preprocess_s,t_segment_s,t_metrics_s,t_io_s,t_visualize_s,t_crop_total_s,t_total_s,has_crop
0,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.12329849999514408,0.2685328329971526,42.18483879099949,0.00019237500964663923,20.45009054199909,5.745993082993664,68.7753238749865,True
1,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.14460045800660737,0.22866999998223037,38.18988662501215,0.0014035830099601299,28.32210566700087,6.028338167001493,72.92230437500984,True
2,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.12365004199091345,0.2779335420054849,42.420612250018166,0.00021029202616773546,22.479017374978866,5.928875957994023,71.23257074999856,True
3,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.14726954099023715,0.2116076670063194,42.526517916994635,0.00022183297551237047,26.264398290979443,6.578355375007959,75.73030420902069,True
4,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.12364049997995608,0.2614916249876842,41.612248207995435,0.00021054199896752834,26.34826745800092,6.58745595801156,74.93526495801052,True
5,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.1541236249904614,0.22534412500681356,38.24643429199932,0.00024341701646335423,26.55788333300734,6.463787833985407,71.6499731669901,True
6,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.1236715420091059,0.29443258300307207,42.10273054198478,0.00023995901574380696,24.446684167021886,6.231524750008248,73.20205008401535,True
7,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.14661945900297724,0.28478129202267155,39.109922083007405,0.00017699997988529503,29.149640292016556,5.5077923749922775,74.20065883398638,True
8,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.12380599998869002,0.2708066249906551,42.00827687498531,0.00021462500444613397,25.935627583996393,5.396165459009353,73.73673541599419,True
9,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.14777174999471754,0.20771020799293183,39.21871529100463,0.0001762080064509064,31.082179374992847,5.668515166995348,76.32690425001783,True
10,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.12240337498951703,0.25255383300827816,42.70056833399576,0.00020712497644126415,26.644954832998337,6.394252750003943,76.11709945800249,True
11,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.16134787499322556,0.31206991701037623,37.52973979199305,0.0001905410026665777,29.92238979198737,6.426272415992571,74.35418016699259,True
12,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.1292064170120284,0.34140329199726693,41.574294457997894,0.00026779199833981693,27.95526783299283,6.95360166701721,76.95602037501521,True
13,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.2194736250094138,0.3353283329925034,36.162764750013594,0.00022133300080895424,30.938780541997403,6.455707874993095,74.11415083298925,True
14,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.12400641699787229,0.2661276670114603,42.83883083402179,0.00022399998852051795,27.273268707998795,6.243632541998522,76.74828629201511,True
15,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.1796354579855688,0.5657639169949107,37.30127766699297,0.00023012497695162892,31.661013083008584,7.093864000024041,76.8039457500272,True
16,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.14448287498089485,0.2055053750227671,38.968856499996036,0.0008142910082824528,31.651883415994234,5.902801374992123,76.88266920897877,True
17,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.15136650000931695,0.2096392499806825,31.97453483301797,0.0003696249914355576,31.249019915994722,6.140248958981829,69.73440954100806,True
18,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.14302466699155048,0.21811533300206065,41.30882458400447,0.00018579099560156465,33.69030712501262,6.829423582996242,82.19187641699682,True
19,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.146239166992018,0.3332756250165403,36.70446300000185,0.0002519999979995191,34.0430969579902,7.639709000010043,78.8690685830079,True
20,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.1420703749754466,0.2156408750161063,40.60595354199177,0.0003206249966751784,33.37198075000197,8.348693792009726,82.68684091701289,True
21,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.14360237499931827,0.3173641249886714,35.48733933301992,0.00023166599567048252,33.59030558401719,7.418509875016753,76.95928833301878,True
22,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.14726120900013484,0.2117193750164006,39.913301667023916,0.0002059580001514405,32.998235916980775,6.565781999990577,79.83835070900386,True
23,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.14295066701015458,0.20540600002277642,37.267043499974534,0.00021391597692854702,34.173392582975794,8.86012966700946,80.65104599998449,True
24,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.15171233302680776,0.2810645419813227,37.414063167001586,0.00017883299733512104,34.039443707995815,8.361732499994105,80.250016667007,True
25,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.14723441598471254,0.214181292016292,35.42095737499767,0.00023283300106413662,35.361193208023906,8.226114958990365,79.37208066598396,True
26,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.1448552500223741,0.2533229159889743,38.03701279198867,0.00026000000070780516,36.57252262500697,7.97221645800164,82.9823287500185,True
27,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.1848347090126481,0.4101927080191672,32.31280266601243,0.00025883299531415105,38.92901558300946,7.803459749993635,79.64275179200922,True
28,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.1806311660038773,0.6413867909868713,35.81842758299899,0.0002300409832969308,42.5289797919977,9.791010291985003,88.96263370799716,True
29,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.15014733400312252,0.3065616670064628,31.52212370801135,0.0002507920144125819,40.544395832985174,8.723842874984257,81.24938795799972,True
30,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.16033045799122192,0.3587985420017503,35.094968707999215,0.0002315829915460199,40.43859804200474,11.098211291013286,87.15319279200048,True
31,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.1555590839998331,0.2665059170103632,32.153939082985744,0.00026012500165961683,44.417915583006106,10.244991124985972,87.24112533399602,True
32,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.13863445800961927,0.20809783300501294,27.863181749999058,5.3625000873580575e-05,46.10461312500411,8.739556667016586,83.05477916699601,True
33,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.14310170800308697,0.21642637500190176,27.578866042022128,5.187498754821718e-05,48.5022065420053,9.236559874989325,85.67810383302276,True
34,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.14778579198173247,0.21446849999483675,32.20790633300203,0.0002600419975351542,46.48237416698248,9.781862415984506,88.83684783399804,True
35,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.14572008300456218,0.2112693329981994,29.768296458991244,0.00032987500890158117,48.76958366599865,9.001338583009783,87.90154258298571,True
36,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.15065454199793749,0.22602808300871402,32.86934558299254,0.0002622079919092357,49.545284457999514,9.756384624983184,92.55059870900004,True
37,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.14542866699048318,0.20644666699809022,31.179413000005297,0.00028208401636220515,48.58469604200218,8.639278167014709,88.75785879199975,True
38,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.14822658299817704,0.21493325001210906,32.62384329098859,0.00019454199355095625,50.57683987499331,10.125681250006892,93.69168866699329,True
39,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.14814820801257156,0.21299462497700006,30.228585208009463,0.00027925000176765025,51.27357470901916,9.71426124998834,91.58018304198049,True
40,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.14586845901794732,0.220933790988056,31.471152999991318,0.0002156670088879764,53.9060091249994,9.257703750015935,95.00387774998671,True
41,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.14301608398091048,0.24904033399070613,31.19975354199414,0.00020362500799819827,54.97279716600315,8.910577041999204,95.4774350419757,True
42,Confluence_Single movie_30.03.2025_no mask_C4_1,wildtype,0.15874941597576253,0.28178225000738166,33.53424025001004,0.0002414170012343675,57.05033575001289,10.460682165983599,101.48812174997875,True
