frame_idx,video_name,condition,t_preprocess_s,t_segment_s,t_metrics_s,t_io_s,t_visualize_s,t_crop_total_s,t_total_s,has_crop
0,Confluence_Single movie_30.03.2025_no mask_G5_1,mutant,0.12385808301041834,0.42110487501486205,39.770494500000495,0.00019383299513719976,14.047387083002832,4.1792779590177815,58.544600707973586,True
1,Confluence_Single movie_30.03.2025_no mask_G5_1,mutant,0.1442455000069458,0.4012562499847263,40.66353658301523,0.0002520409761928022,18.590543250000337,3.7039582500001416,63.505844583996804,True
2,Confluence_Single movie_30.03.2025_no mask_G5_1,mutant,0.12380483298329636,0.4167660410166718,39.57922433398198,0.0001866249949671328,15.280916750023607,3.821259291988099,59.2241259579896,True
3,Confluence_Single movie_30.03.2025_no mask_G5_1,mutant,0.144094415998552,0.42595649999566376,39.50289104200783,0.00016612501349300146,17.509195541992085,4.486130790988682,62.07033787498949,True
4,Confluence_Single movie_30.03.2025_no mask_G5_1,mutant,0.1270889159932267,0.5497189580055419,39.279490457993234,0.0001737500133458525,14.957509291998576,3.882552042021416,58.79853562498465,True
5,Confluence_Single movie_30.03.2025_no mask_G5_1,mutant,0.13871383399236947,0.2125614999968093,39.49755291698966,0.00020379101624712348,17.111980166984722,4.495109291980043,61.457943041983526,True
6,Confluence_Single movie_30.03.2025_no mask_G5_1,mutant,0.12415841699112207,0.22435804098495282,39.71421658300096,0.0002097500255331397,16.534320332983043,4.93959008299862,61.53904525001417,True
7,Confluence_Single movie_30.03.2025_no mask_G5_1,mutant,0.14034308400005102,0.1980136250203941,37.743166250002105,0.00018441700376570225,18.884339958021883,4.890442583011463,61.858411458990304,True
8,Confluence_Single movie_30.03.2025_no mask_G5_1,mutant,0.12430029199458659,0.25815454102121294,39.279477083007805,0.00020462498650886118,16.970918915991206,4.4938921660068445,61.12908825001796,True
9,Confluence_Single movie_30.03.2025_no mask_G5_1,mutant,0.14230954201775603,0.2930927909910679,38.04423775000032,0.0002478749956935644,19.91467537501012,3.905970874999184,62.30265808402328,True
10,Confluence_Single movie_30.03.2025_no mask_G5_1,mutant,0.12941774999490008,0.25162066699704155,39.25199979101308,0.0001871249987743795,17.08520645799581,4.4632244579843245,61.18354041699786,True
11,Confluence_Single movie_30.03.2025_no mask_G5_1,mutant,0.16913516700151376,0.21678004201385193,37.66764429199975,0.0001607910089660436,20.577660084003583,4.637936707993504,63.271086916996865,True
12,Confluence_Single movie_30.03.2025_no mask_G5_1,mutant,0.1252574590034783,0.2125311249983497,38.76945691698347,0.00018170799012295902,18.08954166600597,4.006389541988028,61.20526233300916,True
13,Confluence_Single movie_30.03.2025_no mask_G5_1,mutant,0.15170320798642933,0.20872458300436847,37.509075291018235,0.00017904199194163084,22.78185258398298,4.7061849999881815,65.35939633299131,True
14,Confluence_Single movie_30.03.2025_no mask_G5_1,mutant,0.12426058301934972,0.2512405839806888,39.182598042010795,0.00021112500689923763,18.872974792000605,4.587032750016078,63.02018445901922,True
15,Confluence_Single movie_30.03.2025_no mask_G5_1,mutant,0.14918616600334644,0.4332744170096703,36.222867540986044,0.0002691670088097453,20.282164374977583,3.9482147920061834,61.03814683298697,True
16,Confluence_Single movie_30.03.2025_no mask_G5_1,mutant,0.14024599999538623,0.19762283301679417,39.9664764580084,0.00024108300567604601,21.178566082991892,3.9836519999953452,65.46864400000777,True
17,Confluence_Single movie_30.03.2025_no mask_G5_1,mutant,0.14218424999853596,0.1963843330158852,32.837021166982595,0.000254457991104573,21.561476041009882,3.9948379159905016,58.735980583005585,True
18,Confluence_Single movie_30.03.2025_no mask_G5_1,mutant,0.14386733301216736,0.28817291697487235,39.41684620900196,0.00017399998614564538,22.58960500001558,4.175411500007613,66.61609508300899,True
19,Confluence_Single movie_30.03.2025_no mask_G5_1,mutant,0.1433827499859035,0.2248734580061864,38.68237004202092,0.0001904579985421151,24.04338720900705,3.60105774999829,66.69759170801262,True
20,Confluence_Single movie_30.03.2025_no mask_G5_1,mutant,0.14192550000734627,0.1903024580096826,39.17364733299473,0.00022679200628772378,24.3617992909858,3.2434531250037253,67.11334954202175,True
21,Confluence_Single movie_30.03.2025_no mask_G5_1,mutant,0.14240429201163352,0.23526287500862963,37.53587729099672,0.00023108298773877323,25.28713687500567,4.061087707988918,67.26429208301124,True
22,Confluence_Single movie_30.03.2025_no mask_G5_1,mutant,0.1600081670039799,0.3519535000086762,36.10784179100301,0.00016954197781160474,24.71908895802335,3.577007667016005,64.91775812502601,True
23,Confluence_Single movie_30.03.2025_no mask_G5_1,mutant,0.14576045901048928,0.20581341598881409,37.563821292016655,0.0002623750187922269,26.44381495800917,3.9052205000189133,68.26654875001987,True
24,Confluence_Single movie_30.03.2025_no mask_G5_1,mutant,0.15341641701525077,0.3070479159941897,37.75584370800061,0.00024083300377242267,26.311718667013338,3.452969584002858,67.9832877080189,True
25,Confluence_Single movie_30.03.2025_no mask_G5_1,mutant,0.14368241699412465,0.20226225000806153,35.02475833299104,0.00030683400109410286,26.174664791993564,4.08633091597585,65.6340536250209,True
